trade_date,ticker,sector,company_name,shares_held,buy_price,close_price,adj_close,volume,daily_return,cumulative_return,market_value,cost_basis,unrealized_pnl,pnl_pct
2022-01-24,GOOGL,Technology,Alphabet Inc.,20.0,130.0,130.804,129.6543,76622000,0.00347121,-0.09785057,2593.0860000000002,2600.0,-6.91399999999976,-0.26592307692307204
2022-01-24,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,343.39,307.3047,6569800,-0.00151217,-0.13138376,3073.0470000000005,3500.0,-426.9529999999995,-12.198657142857137
2022-01-24,HON,Industrials,Honeywell International Inc.,20.0,195.0,202.0929,183.6905,5501527,-0.00316919,-0.01136318,3673.8099999999995,3900.0,-226.1900000000005,-5.799743589743597
2022-01-24,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,162.97,143.3633,14054600,-0.01152414,-0.04995885,5017.7155,5775.0,-757.2844999999998,-13.113151515151507
2022-01-24,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,144.95,129.4468,28471400,-0.00089609,-0.09821387,3236.17,3750.0,-513.8299999999999,-13.702133333333336
2022-01-24,KO,Consumer,The Coca-Cola Company,60.0,58.0,59.96,52.5104,30185100,-0.00810548,0.01112985,3150.624,3480.0,-329.3760000000002,-9.464827586206901
2022-01-24,MSFT,Technology,Microsoft Corporation,30.0,290.0,296.37,285.4911,85731500,0.00114846,-0.11465306,8564.733,8700.0,-135.26699999999983,-1.5547931034482698
2022-01-24,NVDA,Technology,NVIDIA Corporation,40.0,220.0,23.372,23.2984,913982000,-8.584e-05,-0.22406173,931.936,8800.0,-7868.064,-89.40981818181818
2022-01-24,PFE,Healthcare,Pfizer Inc.,100.0,48.0,51.54,40.6034,59036400,-0.02367745,-0.09020144,4060.34,4800.0,-739.6599999999999,-15.409583333333332
2022-01-24,PG,Consumer,The Procter & Gamble Company,40.0,155.0,161.3,144.5774,14838100,-0.00811674,-0.00447505,5783.0960000000005,6200.0,-416.90399999999954,-6.724258064516121
2022-01-24,UNH,Healthcare,UnitedHealth Group Incorporated,10.0,470.0,462.27,426.3145,4780700,0.00238514,-0.07965694,4263.145,4700.0,-436.85499999999956,-9.29478723404255
2022-01-24,V,Financials,Visa Inc.,20.0,210.0,201.85,195.05,16054000,-0.0198128,-0.08842531,3901.0,4200.0,-299.0,-7.119047619047613
2022-01-24,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,72.79,62.3092,41507000,0.008592,0.14557713,2803.9139999999998,3240.0,-436.08600000000024,-13.459444444444449
2022-01-25,AAPL,Technology,Apple Inc.,50.0,145.0,159.78,156.2068,115798400,-0.01138503,-0.12213632,7810.339999999999,7250.0,560.3399999999992,7.728827586206888
2022-01-25,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,139.986,139.986,90824000,-0.03153365,-0.17850761,4199.58,4200.0,-0.42000000000007276,-0.010000000000007146
2022-01-25,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,307.19,307.19,6435400,0.0113917,0.0212773,3686.2799999999997,3720.0,-33.720000000000255,-0.9064516129032265
2022-01-25,CAT,Industrials,Caterpillar Inc.,15.0,210.0,214.31,198.6953,4554300,-9.31e-05,0.04033746,2980.4295,3150.0,-169.5704999999998,-5.3831904761904745
2022-01-25,CVX,Energy,Chevron Corporation,25.0,125.0,132.59,110.7183,19984500,0.04253833,0.1117724,2767.9575,3125.0,-357.0425,-11.425360000000001
2022-01-25,GOOGL,Technology,Alphabet Inc.,20.0,130.0,126.935,125.8193,46960000,-0.02957866,-0.12453494,2516.386,2600.0,-83.61400000000003,-3.215923076923078
2022-01-25,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,341.55,305.658,3959300,-0.00535853,-0.13603826,3056.58,3500.0,-443.4200000000001,-12.669142857142853
2022-01-25,HON,Industrials,Honeywell International Inc.,20.0,195.0,199.9677,181.7588,5298891,-0.01051606,-0.02175975,3635.1760000000004,3900.0,-264.8239999999996,-6.790358974358971
2022-01-25,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,167.63,147.4626,14081200,0.02859379,-0.02279357,5161.191000000001,5775.0,-613.8089999999993,-10.628727272727268
2022-01-25,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,146.53,130.8579,18915900,0.010901,-0.0883835,3271.4475,3750.0,-478.5524999999998,-12.7614
2022-01-25,KO,Consumer,The Coca-Cola Company,60.0,58.0,59.82,52.3878,19027100,-0.00233478,0.00876909,3143.268,3480.0,-336.73199999999997,-9.676206896551728
2022-01-25,MSFT,Technology,Microsoft Corporation,30.0,290.0,288.49,277.9004,72848600,-0.02658822,-0.13819286,8337.011999999999,8700.0,-362.9880000000012,-4.172275862068968
2022-01-25,NVDA,Technology,NVIDIA Corporation,40.0,220.0,22.324,22.2537,664616000,-0.04483999,-0.2588548,890.1479999999999,8800.0,-7909.852,-89.8846818181818
2022-01-25,PFE,Healthcare,Pfizer Inc.,100.0,48.0,52.54,41.3912,43983200,0.01940232,-0.07254924,4139.12,4800.0,-660.8800000000001,-13.768333333333338
2022-01-25,PG,Consumer,The Procter & Gamble Company,40.0,155.0,159.54,142.9998,9369600,-0.0109118,-0.01533803,5719.992,6200.0,-480.0079999999998,-7.7420645161290365
2022-01-25,UNH,Healthcare,UnitedHealth Group Incorporated,10.0,470.0,456.84,421.3069,3428900,-0.01174626,-0.09046753,4213.0689999999995,4700.0,-486.9310000000005,-10.360234042553195
2022-01-25,V,Financials,Visa Inc.,20.0,210.0,202.0,195.195,12125500,0.0007434,-0.08774765,3903.8999999999996,4200.0,-296.10000000000036,-7.050000000000003
2022-01-25,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,74.93,64.141,39278400,0.02939855,0.17925543,2886.3450000000003,3240.0,-353.65499999999975,-10.91527777777777
2022-01-26,AAPL,Technology,Apple Inc.,50.0,145.0,159.69,156.1189,108275300,-0.00056272,-0.12263031,7805.945,7250.0,555.9449999999997,7.668206896551721
2022-01-26,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,138.8725,138.8725,95602000,-0.00795437,-0.18504206,4166.175,4200.0,-33.82499999999982,-0.8053571428571412
2022-01-26,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,309.26,309.26,6119400,0.0067385,0.02815918,3711.12,3720.0,-8.88000000000011,-0.23870967741935778
2022-01-26,CAT,Industrials,Caterpillar Inc.,15.0,210.0,214.29,198.6767,3558500,-9.361e-05,0.04024007,2980.1505,3150.0,-169.8494999999998,-5.392047619047614
2022-01-26,CVX,Energy,Chevron Corporation,25.0,125.0,132.69,110.8018,17266500,0.00075417,0.11261086,2770.045,3125.0,-354.9549999999999,-11.358559999999999
2022-01-26,GOOGL,Technology,Alphabet Inc.,20.0,130.0,129.233,128.0971,49130000,0.01810374,-0.10868574,2561.942,2600.0,-38.05799999999999,-1.4637692307692218
2022-01-26,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,342.68,306.6692,3745900,0.00330827,-0.13318004,3066.692,3500.0,-433.308,-12.380228571428574
2022-01-26,HON,Industrials,Honeywell International Inc.,20.0,195.0,198.3367,180.2763,3427111,-0.00815641,-0.02973868,3605.526,3900.0,-294.47400000000016,-7.550615384615389
2022-01-26,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,168.38,148.1224,9963200,0.00447435,-0.0184212,5184.284,5775.0,-590.7160000000003,-10.228848484848484
2022-01-26,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,147.92,132.0992,20709100,0.00948586,-0.07973603,3302.48,3750.0,-447.52,-11.933866666666669
2022-01-26,KO,Consumer,The Coca-Cola Company,60.0,58.0,59.6,52.1951,19190200,-0.00367834,0.0050585,3131.7059999999997,3480.0,-348.2940000000003,-10.008448275862076
